2025-05-25 20:56:14,630 |    ERROR | mcp_agent | error:122 | Failed to capture screenshot: XGetImage() failed
2025-05-25 20:56:14,631 |    ERROR | mcp_agent | error:122 | Screenshot capture failed
2025-05-25 20:56:14,631 |  WARNING | mcp_agent | warning:114 | Failed to get screen context, retrying...
2025-05-25 20:56:16,631 |    ERROR | mcp_agent | error:122 | Failed to capture screenshot: XGetImage() failed
2025-05-25 20:56:16,631 |    ERROR | mcp_agent | error:122 | Screenshot capture failed
2025-05-25 20:56:16,631 |  WARNING | mcp_agent | warning:114 | Failed to get screen context, retrying...
2025-05-25 20:56:18,632 |    ERROR | mcp_agent | error:122 | Failed to capture screenshot: XGetImage() failed
2025-05-25 20:56:18,632 |    ERROR | mcp_agent | error:122 | Screenshot capture failed
2025-05-25 20:56:18,632 |  WARNING | mcp_agent | warning:114 | Failed to get screen context, retrying...
2025-05-25 20:56:20,633 |    ERROR | mcp_agent | error:122 | Failed to capture screenshot: XGetImage() failed
2025-05-25 20:56:20,633 |    ERROR | mcp_agent | error:122 | Screenshot capture failed
2025-05-25 20:56:20,633 |  WARNING | mcp_agent | warning:114 | Failed to get screen context, retrying...
2025-05-25 20:56:22,634 |    ERROR | mcp_agent | error:122 | Failed to capture screenshot: XGetImage() failed
2025-05-25 20:56:22,634 |    ERROR | mcp_agent | error:122 | Screenshot capture failed
2025-05-25 20:56:22,634 |  WARNING | mcp_agent | warning:114 | Failed to get screen context, retrying...
2025-05-25 20:56:24,635 |    ERROR | mcp_agent | error:122 | Failed to capture screenshot: XGetImage() failed
2025-05-25 20:56:24,635 |    ERROR | mcp_agent | error:122 | Screenshot capture failed
2025-05-25 20:56:24,635 |  WARNING | mcp_agent | warning:114 | Failed to get screen context, retrying...
2025-05-25 20:56:26,636 |    ERROR | mcp_agent | error:122 | Failed to capture screenshot: XGetImage() failed
2025-05-25 20:56:26,636 |    ERROR | mcp_agent | error:122 | Screenshot capture failed
2025-05-25 20:56:26,636 |  WARNING | mcp_agent | warning:114 | Failed to get screen context, retrying...
2025-05-25 20:56:28,637 |    ERROR | mcp_agent | error:122 | Failed to capture screenshot: XGetImage() failed
2025-05-25 20:56:28,637 |    ERROR | mcp_agent | error:122 | Screenshot capture failed
2025-05-25 20:56:28,637 |  WARNING | mcp_agent | warning:114 | Failed to get screen context, retrying...
2025-05-25 20:56:30,638 |    ERROR | mcp_agent | error:122 | Failed to capture screenshot: XGetImage() failed
2025-05-25 20:56:30,638 |    ERROR | mcp_agent | error:122 | Screenshot capture failed
2025-05-25 20:56:30,638 |  WARNING | mcp_agent | warning:114 | Failed to get screen context, retrying...
2025-05-25 20:56:32,639 |    ERROR | mcp_agent | error:122 | Failed to capture screenshot: XGetImage() failed
2025-05-25 20:56:32,639 |    ERROR | mcp_agent | error:122 | Screenshot capture failed
2025-05-25 20:56:32,639 |  WARNING | mcp_agent | warning:114 | Failed to get screen context, retrying...
2025-05-25 20:56:33,151 |     INFO | mcp_agent | info:110 | Received signal 15, shutting down...
2025-05-25 20:56:33,152 |     INFO | mcp_agent | info:110 | Stopping MCP Agent...
2025-05-25 20:56:33,152 |     INFO | mcp_agent | info:110 | Controller stopped
2025-05-25 20:56:33,152 |     INFO | mcp_agent | info:110 | Perceiver stopped
2025-05-25 20:56:34,226 |     INFO | mcp_agent | info:110 | System monitoring stopped
2025-05-25 20:56:34,227 |     INFO | mcp_agent | info:110 | Metrics saved to ./data/metrics.jsonl
2025-05-25 20:56:34,228 |     INFO | mcp_agent | info:110 | MCP Agent stopped
2025-05-25 20:56:34,228 |     INFO | mcp_agent | info:110 | Stopping MCP Agent...
2025-05-25 20:56:34,228 |     INFO | mcp_agent | info:110 | Controller stopped
2025-05-25 20:56:34,228 |     INFO | mcp_agent | info:110 | Perceiver stopped
2025-05-25 20:56:34,228 |     INFO | mcp_agent | info:110 | System monitoring stopped
2025-05-25 20:56:34,229 |     INFO | mcp_agent | info:110 | Metrics saved to ./data/metrics.jsonl
2025-05-25 20:56:34,229 |     INFO | mcp_agent | info:110 | MCP Agent stopped
2025-05-25 20:56:42,857 |     INFO | mcp_agent | info:110 | MCP Logger initialized
2025-05-25 20:56:42,863 |     INFO | mcp_agent | info:110 | Platform detected: linux
2025-05-25 20:56:43,003 |     INFO | mcp_agent | info:110 | Ollama connected. Available models: ['llava:13b', 'phi3:medium', 'mxbai-embed-large:latest', 'bge-m3:latest', 'nomic-embed-text:latest', 'llama2:latest', 'mistral:7b', 'neural-chat:7b', 'all-minilm:latest', 'mistral:latest', 'qllama/bge-reranker-large:latest', 'qllama/bge-large-en-v1.5:latest', 'orca2:latest', 'all-minilm:l6-v2']
2025-05-25 20:56:43,339 |     INFO | mcp_agent | info:110 | ==================================================
2025-05-25 20:56:43,339 |     INFO | mcp_agent | info:110 | Starting MCP AI Agent
2025-05-25 20:56:43,339 |     INFO | mcp_agent | info:110 | Python version: 3.11.0rc1 (main, Aug 12 2022, 10:02:14) [GCC 11.2.0]
2025-05-25 20:56:43,339 |     INFO | mcp_agent | info:110 | Platform: linux
